"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"Camila Pires","Manaus","AM","899.777.131-83","","Mochila Executiva","9","6799.05","2639.54","61191.45","14/11/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Smartphone Importado","7","2635.2","1843.64","18446.4","19/03/2024","CIF","97.12","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","PC de Escritório","25","122.34","81.54","3058.5","06/08/2023","CIF","176.02","Concluída"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Carteira Masculina","22","5792.36","3940.74","127431.92","17/06/2024","CIF","48.61","Cancelada"
"Ana Paula Silva","Brasília","SPP","862.295.268-57","","Mesa de Escritório","14","840.65","478.18","11769.1","23/01/2023","CIF","177.18","Cancelada"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","","10","2836.83","2333.62","28368.3","11/03/2023","FOB","","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Notebook Gamer","20","7290.55","3343.47","145811","11/04/2024","FOB","","Cancelada"
"MaxxiTech Components","Salvador"," pa","","33.181.017/5893-40","Smartphone Importado","30","6516.71","2975.47","195501.3","09/26/2024","FOB","","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","Lápis de Cor","9","8751.66","3301.64","78764.94","02/19/2023","FOB","","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Kit Gamer Completo","22","3841.2","2818.98","84506.4","04/21/2023","FOB","","Concluída"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Estante de Livros","17","342.28","221.25","5818.76","04/04/2024","FOB","","Pendente"
"Carlos Eduardo Lima","Brasília","SPP","768.734.911-59","","Mesa Gamer","15","3115.77","1677.63","46736.55","10/07/2024","FOB","","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Estojo Escolar","21","3826.96","2260.22","80366.16","12/02/2023","CIF","66.72","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","","26","10791.4","4318.97","280576.4","01/11/2023","FOB","","Cancelada"
"LogiCenter Brasil","Salvador"," Df","","26.929.896/9741-00","Óculos de Sol","1","12133.38","4704.27","12133.38","18/04/2024","CIF","103.4","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mesa de Escritório","8","3817.61","1365.18","30540.88","07/07/2023","CIF","59.67","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bolsa de Viagem","18","10722.26","4349.02","193000.68","30/05/2024","FOB","","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","PC Gamer","1","568.31","259.95","568.31","31/07/2024","CIF","182.29","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","","8","6726.36","2522.79","53810.88","28/07/2023","FOB","","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Mesa de Escritório","26","2331.22","1980.8","60611.72","06/11/2023","CIF","112.96","Em Análise"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Pulseira Esportiva","","9020.38","3519.38","216489.12","02/11/2024","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","Prr","618.986.735-72","","Mini Projetor","23","1776.82","892.36","40866.86","09/11/2023","FOB","","Pendente"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Bolsa de Viagem","23","8573.12","4349.02","197181.76","10/01/2024","FOB","","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mochila Executiva","12","2539.95","2060.92","30479.4","08/08/2023","CIF","34.64","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Gaveteiro com Rodas","9","4516.4","1812.15","40647.6","03/23/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bloco de Notas","9","758.16","388.28","6823.44","05/04/2024","CIF","199.85","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Bolsa de Viagem","13","391.06","203.78","5083.78","01/28/2024","CIF","91","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Smartphone Importado","12","4611.14","2828.32","55333.68","23/08/2023","FOB","","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Bloco de Notas","16","5240.18","3573.49","83842.88","09/01/2024","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Headset USB","23","7449.03","2814.14","171327.69","07/25/2024","FOB","","Pendente"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Smartphone Importado","6","3768.3","1523.23","22609.8","12/03/2023","FOB","","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Caixa de Som Smart","7","6464.39","4985.88","45250.73","02/04/2024","CIF","114.34","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Lápis de Cor","30","6574.57","3301.64","197237.1","18/11/2023","FOB","","Cancelada"
"Hugo Martins","Manaus","AM","181.125.206-47","","Gaveteiro com Rodas","11","5271.31","2922.21","57984.41","17/11/2024","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","PC de Escritório","25","5813.89","4870.9","145347.25","08/09/2024","FOB","","Cancelada"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Kit Gamer Completo","28","7030.43","2818.98","196852.04","02/11/2023","CIF","134.6","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Mochila Executiva","14","4475.03","2105.33","62650.42","26/04/2023","CIF","48.19","Cancelada"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Armário de Aço","2","11007.08","4348.23","22014.16","11/09/2023","CIF","131.27","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Mouse Sem Fio","5","11265.37","4642.02","56326.85","10/06/2024","CIF","169.26","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Pulseira Esportiva","24","2678.53","962.37","64284.72","31/10/2023","FOB","","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Mochila Executiva","23","8634.63","3742.9","198596.49","08/03/2024","FOB","","Cancelada"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Relógio Digital","27","11417.61","4464.78","308275.47","08/10/2023","CIF","129.79","Pendente"
"TechInfo Solutions","Manaus","am ","","23.142.529/9475-25","Mini Projetor","6","4582.62","2835.36","27495.72","02/13/2024","FOB","","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Gaveteiro com Rodas","14","2990.77","1812.15","41870.78","09/11/2024","FOB","","Em Análise"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Bloco de Notas","13","8092.65","3573.49","105204.45","12/16/2023","FOB","","Pendente"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Caneta Esferográfica","21","4490.58","1747.81","94302.18","07/02/2023","CIF","187.46","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Monitor Full HD","25","4447.6","3960.4","111190","18/09/2023","CIF","52.21","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Smartphone Importado","29","5899.57","2255.68","171087.53","24/05/2024","CIF","53.79","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Bloco de Notas","21","5947.36","4301.47","124894.56","16/01/2023","CIF","76.29","Concluída"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Kit Gamer Completo","7","2281.96","1173.93","15973.72","13/06/2023","FOB","","Em Análise"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Agenda 2025","12","5408.96","2522.79","64907.52","19/03/2024","FOB","","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Teclado Mecânico","15","6305.35","3976.7","94580.25","20/11/2024","FOB","","Concluída"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Estante de Livros","27","2429.63","1655.49","65600.01","14/07/2024","CIF","58.84","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Caderno Universitário","18","4163.06","1559.44","74935.08","28/02/2024","CIF","185.38","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","","5","8398.21","3096.3","41991.05","24/12/2023","FOB","","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Bloco de Notas","13","4374.9","3573.49","56873.7","10/04/2023","CIF","115.58","Em Análise"
"MaxxiTech Components","Salvador"," Df","","33.181.017/5893-40","Óculos de Sol","","1161.57","573.74","24392.97","05/02/2023","FOB","","Em Análise"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Óculos de Sol","15","13170.58","4804.41","197558.7","01/10/2024","FOB","","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Carteira Masculina","21","6887.94","2602.2","144646.74","07/06/2024","FOB","","Em Análise"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Smartphone Importado","16","4196.36","1843.64","67141.76","28/09/2024","FOB","","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Monitor Full HD","30","3651.92","2017.84","109557.6","06/05/2024","FOB","","Cancelada"
"Alpha Distribuidora","Curitiba"," pa","","41.992.958/0340-98","Mesa de Escritório","16","482.04","315.62","7712.64","06/03/2024","CIF","187.55","Pendente"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Cadeira Ergonômica","27","2838.56","1417.54","76641.12","09/28/2024","FOB","","Concluída"
"Larissa Ferreira","Manaus"," Rs","450.010.242-24","","Kit Gamer Completo","2","3484.96","1453.32","6969.92","17/06/2024","CIF","42.04","Em Análise"
"Felipe Moreira","Manaus","AM","247.173.034-32","","PC de Escritório","3","200.52","112.48","601.56","15/02/2024","CIF","194.6","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Notebook Gamer","22","9383.85","3642.58","206444.7","25/02/2023","FOB","","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Caixa de Som Smart","10","5887.78","4608.55","58877.8","11/14/2023","CIF","173.3","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Mouse Sem Fio","23","7042.31","3983.86","161973.13","16/05/2024","CIF","169.54","Cancelada"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Drone Compacto","11","4036.73","3454.19","44404.03","03/12/2023","FOB","","Pendente"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Caixa de Som Smart","2","6286.04","4196.06","12572.08","02/09/2024","CIF","166.21","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Mesa de Escritório","8","2432.81","1980.8","19462.48","02/01/2023","FOB","","Pendente"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Lápis de Cor","25","7517.88","3354.31","187947","13/06/2024","CIF","153.95","Em Análise"
"Renato Carvalho","Recife"," Rs","071.142.172-58","","Óculos de Sol","","4305.4","1856.92","73191.8","03/18/2024","CIF","188.13","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Bolsa de Viagem","9","6798.21","2508.59","61183.89","26/10/2024","CIF","75.69","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mouse Sem Fio","16","7617.45","3529.53","121879.2","02/21/2024","FOB","","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Mini Projetor","2","4952.75","2835.36","9905.5","13/10/2023","CIF","21.09","Pendente"
"Daniel Lobo","São Paulo","Prr","550.369.280-76","","PC de Escritório","21","169.07","81.54","3550.47","08/12/2023","CIF","76.2","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Pulseira Esportiva","11","5259.55","4248.1","57855.05","17/02/2023","FOB","","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Smartphone Importado","18","2610.18","1843.64","46983.24","05/03/2024","FOB","","Em Análise"
"Mariana Gomes","Curitiba","am ","662.049.694-89","","Mochila Executiva","21","7699.63","3742.9","161692.23","03/30/2023","FOB","","Concluída"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Drone Compacto","27","3226.94","2554.13","87127.38","29/04/2023","FOB","","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mesa Gamer","25","6305.52","3811.29","157638","13/02/2024","CIF","76.83","Pendente"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Bolsa de Viagem","20","10088.48","4602.28","201769.6","07/04/2024","CIF","184.34","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","PC de Escritório","15","4958.84","2333.62","74382.6","05/08/2023","CIF","181.48","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mesa de Escritório","6","46.25","37.33","277.5","12/29/2023","FOB","","Cancelada"
"Delta Service Brasil","São Paulo"," Df","","33.010.213/1465-22","Caixa de Som Smart","1","9263.01","4608.55","9263.01","25/01/2023","CIF","57.38","Em Análise"
"Renato Carvalho","Recife","PE","071.142.172-58","","Mini Projetor","3","7188.68","2835.36","21566.04","17/06/2024","FOB","","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","PC Gamer","3","2528.42","1179.31","7585.26","04/11/2024","FOB","","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Bolsa de Viagem","12","416.11","203.78","4993.32","10/27/2023","CIF","139.44","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Caderno Universitário","5","6628.97","3033","33144.85","28/12/2023","FOB","","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mochila Executiva","19","4188.07","2105.33","79573.33","27/10/2024","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Pulseira Esportiva","24","3133.17","1343.47","75196.08","15/03/2023","CIF","187.61","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Agenda 2025","2","4332.17","1764.41","8664.34","27/07/2023","CIF","134.88","Cancelada"
"Renato Carvalho","Recife","PE","071.142.172-58","","Bolsa de Viagem","8","2626.63","2377.28","21013.04","18/08/2024","FOB","","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Óculos de Sol","27","9415.26","4804.41","254212.02","11/27/2024","CIF","156.66","Em Análise"
"Renato Carvalho","Recife","PE","071.142.172-58","","Kit Gamer Completo","20","3442.51","1453.32","68850.2","18/03/2023","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","","9","7911.76","4706.99","71205.84","01/10/2024","CIF","183.74","Pendente"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Lápis de Cor","10","9955.56","4394.3","99555.6","26/07/2024","CIF","103.25","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Smartphone Importado","6","3191.62","1523.23","19149.72","31/08/2024","FOB","","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Relógio Digital","5","2834.78","1386.93","14173.9","09/06/2024","FOB","","Em Análise"
"Beatriz Correia","Salvador"," Df","511.440.560-17","","Kit Gamer Completo","20","5920.06","4378.65","118401.2","02/03/2024","FOB","","Cancelada"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Mouse Sem Fio","21","9474.34","3983.86","198961.14","29/05/2023","CIF","178.36","Pendente"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Caderno Universitário","13","2938.22","1857.11","38196.86","20/04/2023","CIF","164.16","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Notebook Comum","29","7211.05","4612.79","209120.45","04/09/2024","CIF","51.06","Cancelada"
"Renato Carvalho","Recife","PE","071.142.172-58","","Mochila Executiva","4","6037","3742.9","24148","13/03/2023","CIF","100.86","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Relógio Digital","2","2405.76","1386.93","4811.52","02/12/2023","FOB","","Pendente"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Mesa de Escritório","23","3860.98","1980.8","88802.54","04/25/2023","FOB","","Pendente"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Mesa de Escritório","20","65.37","29.52","1307.4","28/01/2023","FOB","","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Bolsa de Viagem","18","6596.6","3263.71","118738.8","04/07/2024","CIF","82.35","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Pulseira Esportiva","18","1044.71","575.3","18804.78","12/07/2023","CIF","190.07","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","PC de Escritório","16","5573.66","4816.22","89178.56","09/23/2024","CIF","72.08","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Headset USB","9","8271.13","3076.89","74440.17","27/05/2024","CIF","119.34","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Mochila Executiva","23","1650.39","974.18","37958.97","07/23/2024","FOB","","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Fone Bluetooth","8","4716.14","2464.7","37729.12","19/02/2024","CIF","115.35","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Caixa de Som Smart","4","9369.12","4608.55","37476.48","12/09/2024","CIF","199.27","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Fone Bluetooth","13","4012.02","2464.7","52156.26","09/22/2024","CIF","96.08","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","PC de Escritório","27","10516.73","4870.9","283951.71","05/09/2023","FOB","","Cancelada"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","PC de Escritório","27","10516.73","4870.9","283951.71","05/09/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Teclado Mecânico","29","7054.58","3071.9","204582.82","02/06/2023","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","Prr","618.986.735-72","","Caixa de Som Smart","9","6599.08","4608.55","59391.72","28/11/2023","FOB","","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","PC Gamer","24","1983.81","1179.31","47611.44","24/06/2024","CIF","78.96","Em Análise"
"Lucas Barros","São Paulo"," Df","313.198.334-79","","Mini Projetor","20","2063.39","1331.14","41267.8","26/05/2024","FOB","","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Notebook Gamer","19","6309.58","3642.58","119882.02","12/06/2023","CIF","131.32","Pendente"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Teclado Mecânico","28","8534.6","3976.7","238968.8","29/04/2023","FOB","","Em Análise"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Mesa de Escritório","14","528.57","478.18","7399.98","11/06/2023","CIF","176.46","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Mouse Sem Fio","13","7383.27","2816.95","95982.51","14/11/2024","FOB","","Concluída"
"Carlos Eduardo Lima","Brasília"," Rs","768.734.911-59","","Armário de Aço","10","6852.72","3305.87","68527.2","12/04/2023","CIF","152.73","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Marcador Permanente","6","4972.42","3770.06","29834.52","02/18/2024","CIF","34.33","Em Análise"
"Renato Carvalho","Recife","PE","071.142.172-58","","PC de Escritório","14","6021.38","4816.22","84299.32","04/05/2024","FOB","","Pendente"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Carteira Masculina","25","2033.57","1222.15","50839.25","01/29/2024","CIF","112.87","Em Análise"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Teclado Mecânico","2","4707.42","2966.33","9414.84","26/01/2023","FOB","","Em Análise"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Mesa de Escritório","8","40.38","29.52","323.04","09/11/2024","FOB","","Cancelada"
"Hugo Martins","Manaus","RJ ","181.125.206-47","","Armário de Aço","4","3638.41","1310.02","14553.64","12/10/2024","CIF","70.75","Em Análise"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Armário de Aço","3","3231.41","1310.02","9694.23","10/02/2023","FOB","","Cancelada"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Armário de Aço","3","3231.41","1310.02","9694.23","10/02/2023","FOB","","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Smartphone Importado","3","130.51","62.82","391.53","12/07/2023","CIF","159.62","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Caixa de Som Smart","13","11531.49","4196.06","149909.37","02/28/2023","CIF","135.01","Cancelada"
